Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Latitude,Longitude
Stung Treng,"ID 14501 <br> NAME Stung Treng <br> PROVINCE Stung Treng <br> BASIN MEKONG <br> BDP_SA SA 8C <br> MOWRAM_REG Region 5 <br> BASINGROUP Basin Group 3 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 606110 <br> Y_COORD 1497325 <br> ZERO_GH_M 36.79 <br> CAT_A_KM2 635,000",,,,,"-1","0","-1",,,105.981,13.542
Kratie,"ID 14901 <br> NAME Kratie <br> PROVINCE Kratie <br> BASIN MEKONG <br> BDP_SA SA 8C <br> MOWRAM_REG Region 5 <br> BASINGROUP Basin Group 3 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 611213 <br> Y_COORD 1378263 <br> ZERO_GH_M -0.1 <br> CAT_A_KM2 646,000",,,,,"-1","0","-1",,,106.023,12.466
Chruy Changvar,"ID 19801 <br> NAME Chruy Changvar <br> PROVINCE Phnom Penh <br> BASIN MEKONG <br> BDP_SA SA 10C <br> MOWRAM_REG Region 7 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 493809 <br> Y_COORD 1280498 <br> ZERO_GH_M -1.08 <br> CAT_A_KM2 663,000",,,,,"-1","0","-1",,,104.943,11.583
Kampong Cham,"ID 19802 <br> NAME Kampong Cham <br> PROVINCE Kampong Cham <br> BASIN MEKONG <br> BDP_SA SA 10C <br> MOWRAM_REG Region 5 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 551341 <br> Y_COORD 1327363 <br> ZERO_GH_M -0.93 <br> CAT_A_KM2 660,000",,,,,"-1","0","-1",,,105.472,12.007
Neak Loeung,ID 19806 <br> NAME Neak Loeung <br> PROVINCE Prey Veng <br> BASIN MEKONG <br> BDP_SA SA 10C <br> MOWRAM_REG Region 7 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 531031 <br> Y_COORD 1244838 <br> ZERO_GH_M -0.33 <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,105.284,11.261
Stung Slot,ID 19901 <br> NAME Stung Slot <br> PROVINCE Prey Veng <br> BASIN Stung Slot <br> BDP_SA SA 10C <br> MOWRAM_REG Region 7 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-01 <br> TO 31-Dec-10 <br> X_COORD 535227 <br> Y_COORD 1243289 <br> ZERO_GH_M - <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,105.323,11.247
Phnom Penh Port,ID 20101 <br> NAME Phnom Penh Port <br> PROVINCE Phnom Penh <br> BASIN TONLE SAP <br> BDP_SA SA 10C <br> MOWRAM_REG Region 7 <br> BASINGROUP Basin Group 5 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 491583 <br> Y_COORD 1279559 <br> ZERO_GH_M 0.07 <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,104.923,11.575
Prek Kdam,"ID 20102 <br> NAME Prek Kdam <br> PROVINCE Kandal <br> BASIN TONLE SAP <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-80 <br> TO 31-Dec-17 <br> X_COORD 478660 <br> Y_COORD 1305915 <br> ZERO_GH_M 0.08 <br> CAT_A_KM2 84,400",,,,,"-1","0","-1",,,104.804,11.813
Kampong Chhnang,ID 20103 <br> NAME Kampong Chhnang <br> PROVINCE Kampong Chhnang <br> BASIN TONLE SAP <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jul-80 <br> TO 31-Dec-17 <br> X_COORD 465839 <br> Y_COORD 1354277 <br> ZERO_GH_M -2.62 <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,104.686,12.251
Kampong Luong,ID 20106 <br> NAME Kampong Luong <br> PROVINCE Pursat <br> BASIN TONLE SAP <br> BDP_SA SA 9C <br> MOWRAM_REG Region 3 <br> BASINGROUP Basin Group 4 <br> AVAIL_FROM 01-Jan-95 <br> TO 31-Dec-17 <br> X_COORD 414685 <br> Y_COORD 1390283 <br> ZERO_GH_M 0.64 <br> CAT_A_KM2 -,,,,,"-1","0","-1",,,104.215,12.575
